id,source_unique_tokens,source_word_count,source_line_count,mean_text_only_neighbor_cosine_similarity,mean_demographics_only_neighbor_cosine_similarity,mean_combined_neighbor_cosine_similarity,add_count_observed,add_count_marginal_crps,add_count_text_only_crps,add_count_demographics_only_crps,add_count_combined_crps,delete_count_observed,delete_count_marginal_crps,delete_count_text_only_crps,delete_count_demographics_only_crps,delete_count_combined_crps,word_count_observed,word_count_marginal_crps,word_count_text_only_crps,word_count_demographics_only_crps,word_count_combined_crps,line_count_observed,line_count_marginal_crps,line_count_text_only_crps,line_count_demographics_only_crps,line_count_combined_crps,source_similarity_observed,source_similarity_marginal_crps,source_similarity_text_only_crps,source_similarity_demographics_only_crps,source_similarity_combined_crps
train_0121,70,128,20,0.173314,0.373382,0.174440,44.000000,8.382190,8.370422,10.119987,8.135981,51.000000,2.430791,2.131980,2.518075,2.006295,123.000000,14.546417,13.978218,12.249757,13.833095,20.000000,1.030674,1.351093,0.909768,1.322025,0.310757,0.078400,0.059734,0.065553,0.059760
train_0122,28,40,1,0.173714,0.500648,0.178211,27.000000,6.098509,6.261978,5.263419,5.939534,18.000000,1.889176,1.336762,2.067553,1.375951,98.000000,36.083600,40.626042,38.176856,40.546510,1.000000,0.541462,0.510640,0.586096,0.579885,0.246377,0.046405,0.040216,0.049994,0.040426
train_0123,54,98,1,0.229022,0.434846,0.229085,95.000000,43.380613,42.864222,45.297298,42.747562,43.000000,1.993263,1.993672,2.180648,2.000074,170.000000,47.527724,58.615692,50.987437,58.499697,1.000000,0.541462,0.307813,0.572059,0.299913,0.261194,0.052474,0.043993,0.053181,0.043681
train_0124,11,12,6,0.106132,0.303528,0.116461,81.000000,30.935228,33.872371,32.021056,34.811677,6.000000,1.598827,1.300504,1.539121,1.439420,141.000000,92.648619,96.182505,90.064130,92.277047,1.000000,3.747174,3.241217,4.049059,3.793480,0.078431,0.060161,0.075808,0.065638,0.067464
train_0125,26,26,20,0.056879,0.366804,0.074298,49.000000,10.273997,9.714878,10.535899,9.944398,24.000000,2.727693,2.548083,3.251934,2.985074,70.000000,25.866177,24.908023,23.020993,21.600963,1.000000,14.300347,13.030553,15.579096,13.616807,0.041667,0.087090,0.084506,0.099465,0.087823
train_0126,21,48,1,0.165620,0.455653,0.169076,14.000000,12.476600,10.219116,13.146419,11.407174,19.000000,1.904905,2.660145,1.702096,2.642095,17.000000,18.623981,17.732219,18.706263,19.603652,1.000000,0.541462,0.615667,0.535519,0.480135,0.061538,0.071670,0.121164,0.074722,0.110271
train_0127,25,26,5,0.101312,0.266265,0.109117,23.000000,7.071438,6.996054,4.991126,6.343641,15.000000,2.443307,2.023055,2.872297,2.155312,38.000000,12.610018,13.172532,13.325881,13.123797,12.000000,5.068015,5.303675,5.382674,5.286742,0.187500,0.032767,0.035675,0.035758,0.035690
train_0128,77,123,20,0.181940,0.471888,0.184256,21.000000,7.868700,7.034774,8.459827,7.570353,74.000000,10.589345,10.273956,9.105859,10.401352,24.000000,64.758705,47.677565,61.931056,48.455284,1.000000,14.300347,15.199445,15.692580,15.208660,0.027211,0.099439,0.121453,0.087365,0.116946
train_0129,27,56,1,0.183880,0.501873,0.189341,17.000000,10.233458,8.487418,8.783603,8.245504,19.000000,1.093972,0.885007,1.268019,0.929589,29.000000,17.595018,15.344778,14.633878,14.971638,1.000000,0.541462,0.748985,0.321178,0.745769,0.188235,0.032847,0.045144,0.033722,0.044020
train_0130,22,40,1,0.144526,0.417595,0.154557,28.000000,6.017432,5.551432,6.330692,5.585818,15.000000,1.054395,0.671533,1.136709,0.712188,78.000000,23.732805,20.451942,25.214438,20.053356,20.000000,13.432773,13.385623,14.738572,13.458324,0.203390,0.035172,0.036407,0.036651,0.037988
train_0131,103,187,1,0.204738,0.421384,0.206041,26.000000,6.233638,7.406626,4.593933,6.984466,81.000000,3.602008,3.432672,3.787050,3.376975,94.000000,59.934733,39.496300,48.860809,39.615913,1.000000,0.541462,0.398013,0.286405,0.398020,0.327402,0.089036,0.086364,0.097678,0.083274
train_0132,42,71,20,0.173883,0.454840,0.180046,26.000000,6.233638,4.859080,5.524015,5.215007,37.000000,3.132078,3.354374,3.899295,3.457411,36.000000,20.991982,19.113948,19.806458,20.073486,10.000000,7.584433,7.748631,8.451785,7.720346,0.074766,0.062451,0.072925,0.088148,0.078993
train_0133,60,76,1,0.172071,0.365243,0.173454,53.000000,12.138778,10.926835,14.870314,11.476783,46.000000,1.956187,1.802306,2.104723,1.791136,94.000000,16.821224,24.302362,17.708756,24.721442,1.000000,0.541462,0.287373,0.797547,0.287625,0.188235,0.032847,0.030672,0.030719,0.031696
train_0134,80,131,1,0.158004,0.441194,0.161770,29.000000,5.976893,6.025993,5.362041,6.226914,69.000000,5.060016,4.218819,5.389753,4.199113,96.000000,21.554750,17.309635,19.611232,17.807588,1.000000,0.541462,0.480051,0.363995,0.575367,0.334802,0.094169,0.096616,0.077776,0.098225
train_0135,46,53,20,0.121150,0.402618,0.123737,68.000000,21.111346,20.515343,19.190298,20.351034,33.000000,1.695299,1.751066,2.101653,1.798525,125.000000,46.588172,49.814463,47.705540,49.344648,20.000000,1.030674,0.947728,1.360384,0.974228,0.101124,0.049420,0.052419,0.043823,0.050736
